issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
findings-10,`PositionActionPendle.sol#_onWithdraw` does not have slippage parameter minOut set.,findings-10,primary - wrong fix,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionActionPendle.sol#L67,71,:robot:_primary
findings-11,"PositionAction20, PositionAction4626, PositionActionPendle does not handle tokenScale for CDPVault.withdraw()",findings-11,primary - wrong fix,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionActionPendle.sol#L61,100,:robot:_primary
findings-12,`SwapAction.sol#transferAndSwap` is still payable though direct ETH is not supported anymore.,findings-12,primary ,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/SwapAction.sol#L102,48,:robot:_primary
findings-13,`PositionAction4626.sol#_onWithdraw` should withdraw from position CDPVault position instead of `address(this)`.,findings-13,primary - assuming it´s a partial - short fix - validating this.,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionAction4626.sol#L67,76,
findings-14,TransferAction.sol passes incorrect spender for ERC2612 PERMIT, ,"OOS - NO FIX -  it looks like the previous finding was not mitigated and remained the same. Hence, marking this as OOS. The previous contest finding: https://github.com/code-423n4/2024-07-loopfi-findings/issues/152 - the guidance message from C4 Team: https://discord.com/channels/810916927919620096/1293582092533497946/1296431424819298365",Unsatisfactory,,123,:robot:_primary
findings-2,`CDPVault.sol#liquidatePositionBadDebt()` does correctly handle profit and loss,findings-2,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/CDPVault.sol#L702,103,:robot:_primary
findings-3,`PositionAction.sol#onCreditFlashLoan` may end up with stuck funds for EXACT_IN primary swaps.,findings-3,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionAction.sol#L491-L500,146,:robot:_primary
findings-4,Token scales are not correctly handled in CDPVault for both collateral and underlying pool tokens.,findings-4,primary - zero day,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/CDPVault.sol#L500,106,:robot:_04_group
findings-5,Locking.sol does not handle Fee-on-transfer tokens, ,OOS - https://github.com/code-423n4/2024-10-loopfi/blob/main/4naly3er-report.md#m-1-contracts-are-vulnerable-to-fee-on-transfer-accounting-related-issues,Unsatisfactory,,77,:robot:_primary
findings-6,RewardManager.sol will break accounting if rewardToken is the same as collateralToken.,findings-6,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/pendle-rewards/RewardManager.sol#L44-L88,85,:robot:_primary
findings-7,PositionAction.sol#decreaseLever with EXACT_OUT primary swaps would always brick if swapFee is non-zero.,findings-7,primary - wrong fix,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionAction.sol#L377,128,:robot:_14_group
findings-8,PositionAction.sol#decreaseLever with EXACT_IN primary swaps would always brick if swapFee is non-zero.,findings-8,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionAction.sol#L488,98,:robot:_primary
findings-9,`PositionAction.sol#_withdraw` does not correctly support EXACT_OUT swaps anymore.,findings-9,primary ,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionAction.sol#L580,76,:robot:_primary
validation-10,Commented-Out Reward Transfer Logic, ,insufficient proof,Unsatisfactory,,54,:robot:_12_group
validation-11,Accrued Rewards Reset, ,insufficient proof,Unsatisfactory,,51,:robot:_primary
validation-12,Rewards might be lost due to the error that _updateRewardIndex() might advance lastBalance without advancing index for a token. ,validation-12,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/pendle-rewards/RewardManager.sol#L74,48,:robot:_06_group
validation-13, Incorrect Reward Calculation with Initial Index, ,insufficient proof,Unsatisfactory,,70,:robot:_primary
validation-16, Lack of Access Control for Sensitive Functions, ,insufficient proof,Unsatisfactory,,29,:robot:_28_group
validation-17,Insufficient permission checks when decreasing collateral or debt, ,insufficient proof,Unsatisfactory,,34,:robot:_primary
validation-2,PoolV3.sol#_convertToU128() is not right if limit > type(uint128).max && limit != type(uint256).max, ,insufficient proof,Unsatisfactory,,26,
validation-22,Incorrect Token Balance Accounting Due to Fee On Transfer, ,OOS - https://github.com/code-423n4/2024-10-loopfi/blob/main/4naly3er-report.md#M-1,Unsatisfactory,,48,:robot:_05_group
validation-23,Lack of debt repayment checks in `repay` function allows for overpayment, ,"the function reverts if the surplus amount is tried to be repaid. INVALID. In addition, if the user is a project built on top of the protocol - this would be their responsibility, else, the frontend takes care for the normal users",Unsatisfactory,,90,:robot:_08_group
validation-24,`kyberSwap` will not work due to incorrectly decoded returned swap values,validation-24,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/proxy/SwapAction.sol#L299-L304,56,:robot:_primary
validation-25,Donation attack vulnerability in `StakingLPEth` Contract, ,OOS - as there is no fix by the sponsors for the same issue found at the previous contest: https://github.com/code-423n4/2024-07-loopfi-findings/issues/155,Unsatisfactory,,100,:robot:_primary
validation-26,Change in cooldown should not affect users' withdrawal wait time., ,"""implement a system like that of StakingLPEth.sol in which the the current cooldownPeriod is added to cooldownStart to get the cooldownEnd that the users have to wait for."" -> it´s already implemented. ",Unsatisfactory,,85,:robot:_primary
validation-27,PositionActionPendle exits pendle without slippage protection,findings-10,,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionActionPendle.sol#L67,66,:robot:_41_group
validation-29,SwapAction's newly implemented Kyber swaps lack slippage protection,validation-29,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/proxy/SwapAction.sol#L293-L305,137,:robot:_13_group
validation-3,PoolV3.sol#updateQuotaRevenue() should be poolQuotaKeeperOnly instead of creditManagerOnly, ,insufficient reporting,Unsatisfactory,,28,
validation-30,`Locking.sol`: Users are unfairly DOS'd from their assets after initiating cooldown early, ,"the same context in previous context was resulted in ""expected behavior"" by the sponsors. https://github.com/code-423n4/2024-07-loopfi-findings/issues/165",Unsatisfactory,,96,:robot:_09_group
validation-31,No slippage applied when Withdrawing collateral from the vault and `dst != collateralToken`,findings-10,,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionActionPendle.sol#L67,76,:robot:_primary
validation-32,`modifyCollateralAndDebt()` doesn't work as intended when the vault is paused since debts can still be increased,validation-32,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/CDPVault.sol#L422-L533,65,:robot:_primary
validation-34," When adding new quoted tokens, worse off rates for Loopfi is always used for all types of tokens",validation-34,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/quotas/GaugeV3.sol#L231-L260,135,:robot:_primary
validation-37,Potential I/O Flow Issue in Rate Calculation in GaugeV3.sol, ,insufficient proof,Unsatisfactory,,27,:robot:_primary
validation-38,Potential Signature Malleability in Permit2 Signature Construction in TransferAction.sol, ,insufficient proof,Unsatisfactory,,20,:robot:_primary
validation-39,Unchecked Array Access in getSwapToken Function in SwapAction.sol, ,insufficient proof,Unsatisfactory,,23,:robot:_primary
validation-4,"Invalid handling of flash loan fees in `PositionAction::onCreditFlashLoan`, forcing it to always revert",validation-4,"primary - the root context is the same as findings-8, however, pointing out to a different root cause",Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionAction.sol#L473,131,:robot:_14_group
validation-40,ABI Decoding Risk in getSwapToken Function in SwapAction.sol, ,insufficient proof,Unsatisfactory,,20,:robot:_primary
validation-41,Unchecked Return Values from Virtual Function _updateRewardIndex in RewardManagerAbstract.sol, ,insufficient proof,Unsatisfactory,,20,:robot:_primary
validation-42,Lack of Slippage Protection Mechanism in `withdraw` and `redeem` Functions in StakingLPEth.sol, ,insufficient proof as the report does not provide step by step function flows and code snippets or a coded POC to provide the root cause,Unsatisfactory,,49,:robot:_00_group
validation-43,Lack of Slippage Protection in ERC4626 Implementation in PoolV3.sol , ,found to be invalid at the previous contest: https://github.com/code-423n4/2024-07-loopfi-findings/issues/179,Unsatisfactory,,96,:robot:_primary
validation-44,No Verification on `moveFunds` to Confirm Legitimate New Treasury, ,insufficient proof,Unsatisfactory,,29,:robot:_20_group
validation-45,ERC20 Transfers Lack Approval Step in ` _moveFunds`, ,insufficient proof,Unsatisfactory,,36,:robot:_01_group
validation-46,Gas Exhaustion in `moveFunds` Function with Large Token Arrays, ,invalid ,Unsatisfactory,,40,:robot:_02_group
validation-47,Cooldown Period Bypass for Withdrawals, ,invalid ,Unsatisfactory,,42,:robot:_09_group
validation-48,Precision loss vulnerability in division operations with `RAY` and `SECONDS_PER_YEAR` will affect the accuracy of interest accrual or quota calculations in `QuotasLogic.sol`, ,OOS -> https://github.com/code-423n4/2024-10-loopfi/blob/main/4naly3er-report.md#l-17-loss-of-precision,Unsatisfactory,,101,:robot:_primary
validation-49,Vulnerability in reward distribution logic lead to incorrect reward calculations in `RewardManagerAbstract.sol`, ,insufficient proof,Unsatisfactory,,88,:robot:_06_group
validation-5,Eth may be transferred from treasury contract,validation-87,,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/Treasury.sol#L12,43,:robot:_11_group
validation-50,Unrestricted token address mapping can be indirectly exploited by manipulating user rewards through other public or internal functions that call it in `RewardManagerAbstract.sol`, ,insufficient proof,Unsatisfactory,,102,:robot:_06_group
validation-51,_updateRewardIndex() Function Lacks Reentrancy Protection at RewardManager.sol, ,insufficient proof,Unsatisfactory,,23,:robot:_03_group
validation-53,Timestamp Manipulation in Interest Rate Calculation at QuotasLogic.sol, ,insufficient proof,Unsatisfactory,,29,:robot:_primary
validation-54,Potential Integer Overflow in calcQuotaRevenueChange Function at QuotasLogic.sol, ,insufficient proof,Unsatisfactory,,23,:robot:_primary
validation-56,Potential Arbitrary Jump in Delegate Call in PositionActionPendle.sol, ,insufficient proof,Unsatisfactory,,27,:robot:_primary
validation-57,Integer Overflow Risk in PositionAction4626.sol, ,insufficient proof,Unsatisfactory,,27,:robot:_primary
validation-58,Violation of Checks-Effects-Interactions Pattern in PositionAction4626.sol, ,insufficient proof,Unsatisfactory,,28,:robot:_primary
validation-59,Potential Unauthorized Token Transfers in `increaseLever` Function, ,insufficient proof,Unsatisfactory,,104,:robot:_10_group
validation-6,"Invalid handling of risdual amount in `PositionAction::onCreditFlashLoan`, forcing it to revert",validation-6,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/proxy/PositionAction.sol#L492-L499,109,:robot:_14_group
